SchoolID, BranchID, SemesterID, SemesterName, SemesterCredit, IsRegularSemester, BranchName, DepartmentName, CourseLevel, Class, IsEnabled
COEP,2,3,Semester I,22,1,Civil Engineering,Civil Engineering ,UG,F.Y.B.Tech.,0
COEP,2,4,Semester II,20,1,Civil Engineering,Civil Engineering ,UG,F.Y.B.Tech.,1
COEP,3,5,Semester I,20,1,Computer Engineering,Computer Engineering and Information Technology,UG,F.Y.B.Tech.,0
COEP,3,6,Semester II,22,1,Computer Engineering,Computer Engineering and Information Technology,UG,F.Y.B.Tech.,1
COEP,4,7,Semester I,20,1,Electronics and Telecommunication Engineering ,Electronics and TeleCommunication Engineering ,UG,F.Y.B.Tech.,0
COEP,4,8,Semester II,22,1,Electronics and Telecommunication Engineering ,Electronics and TeleCommunication Engineering ,UG,F.Y.B.Tech.,1
COEP,5,9,Semester I,20,1,Information Technology ,Computer Engineering and Information Technology,UG,F.Y.B.Tech.,0
COEP,5,10,Semester II,22,1,Information Technology ,Computer Engineering and Information Technology,UG,F.Y.B.Tech.,1
COEP,6,11,Semester I,20,1,Instrumentation and Control Engineering ,Instrumentation and Control Engineering ,UG,F.Y.B.Tech.,0
COEP,6,12,Semester II,22,1,Instrumentation and Control Engineering ,Instrumentation and Control Engineering ,UG,F.Y.B.Tech.,1
COEP,7,13,Semester I,22,1,Mechanical Engineering,Mechanical Engineering ,UG,F.Y.B.Tech.,0
COEP,7,14,Semester II,20,1,Mechanical Engineering,Mechanical Engineering ,UG,F.Y.B.Tech.,1
COEP,8,15,Semester I,22,1,Metallurgical Engineering,Metallurgy and Material Science ,UG,F.Y.B.Tech.,0
COEP,8,16,Semester II,20,1,Metallurgical Engineering,Metallurgy and Material Science ,UG,F.Y.B.Tech.,1
COEP,11,19,Semester I,21,1,Planning,Planning ,UG,F.Y.B.Tech.,0
COEP,11,20,Semester II,21,1,Planning,Planning ,UG,F.Y.B.Tech.,1
COEP,40,21,Semester I,19,1,Enterprise Resource Planning,Production Engineering and Industrial Management,PG Diploma,PGD-ERP,0
COEP,40,22,Semester II,16,1,Enterprise Resource Planning,Production Engineering and Industrial Management,PG Diploma,PGD-ERP,0
