SchoolID, StudentID, SubjectCode, SemesterID, BranchID,SubjectMasterID, YearID, DivisionID, SubjectName, Division, Semester, Branch, Department, CourseLevel, AcademicYear,TeacherID
COEP,5,DE-09001,21,40,5,2013,4290,Human Resource Management,Div-1,Semester I,Enterprise Resource Planning,,2606,2013,10209001
COEP,2,ERP-09002,21,40,2,2013,4290,Financial Accounting and Management Accounting,Div-1,Semester I,Enterprise Resource Planning,,2606,2013,10209001
COEP,1,ERP-09001,21,40,1,2013,4290,Introduction to ERP (Navigation / Basis / Architecture / ABAP),Div-1,Semester I,Enterprise Resource Planning,,2606,2013,10209001
COEP,4,ERP-09004,21,40,4,2013,4290,Production and Operation Management,Div-1,Semester I,Enterprise Resource Planning,,2606,2013,10209001
COEP,3,ERP-09003,21,40,3,2013,4290,Supply Chain Management I (Procurement / Warehousing / Sales),Div-1,Semester I,Enterprise Resource Planning,,2606,2013,10209001
COEP,6,DE-09002,21,40,6,2013,4290,Project Systems,Div-1,Semester I,Enterprise Resource Planning,,2606,2013,10209001
COEP,2,ERP-09002,21,40,2,2013,4290,Financial Accounting and Management Accounting,Div-1,Semester I,Enterprise Resource Planning,,2606,2013,10209001
COEP,1,ERP-09001,21,40,1,2013,4290,Introduction to ERP (Navigation / Basis / Architecture / ABAP),Div-1,Semester I,Enterprise Resource Planning,,2606,2013,10209001
COEP,4,ERP-09004,21,40,4,2013,4290,Production and Operation Management,Div-1,Semester I,Enterprise Resource Planning,,2606,2013,10209001
COEP,3,ERP-09003,21,40,3,2013,4290,Supply Chain Management I (Procurement / Warehousing / Sales),Div-1,Semester I,Enterprise Resource Planning,,2606,2013,10209001
COEP,6,DE-09002,21,40,6,2013,4290,Project Systems,Div-1,Semester I,Enterprise Resource Planning,,2606,2013,10209001
COEP,2,ERP-09002,21,40,2,2013,4290,Financial Accounting and Management Accounting,Div-1,Semester I,Enterprise Resource Planning,,2606,2013,10209001
COEP,1,ERP-09001,21,40,1,2013,4290,Introduction to ERP (Navigation / Basis / Architecture / ABAP),Div-1,Semester I,Enterprise Resource Planning,,2606,2013,10209001
COEP,4,ERP-09004,21,40,4,2013,4290,Production and Operation Management,Div-1,Semester I,Enterprise Resource Planning,,2606,2013,10209001
COEP,3,ERP-09003,21,40,3,2013,4290,Supply Chain Management I (Procurement / Warehousing / Sales),Div-1,Semester I,Enterprise Resource Planning,,2606,2013,10209001
COEP,7,DE-09003,21,40,7,2013,4290,BASIS,Div-1,Semester I,Enterprise Resource Planning,,2606,2013,10209001
COEP,2,ERP-09002,21,40,2,2013,4290,Financial Accounting and Management Accounting,Div-1,Semester I,Enterprise Resource Planning,,2606,2013,10209001
COEP,1,ERP-09001,21,40,1,2013,4290,Introduction to ERP (Navigation / Basis / Architecture / ABAP),Div-1,Semester I,Enterprise Resource Planning,,2606,2013,10209001
COEP,4,ERP-09004,21,40,4,2013,4290,Production and Operation Management,Div-1,Semester I,Enterprise Resource Planning,,2606,2013,10209001
