SchoolID, SubjectID, SubjectCode, Subject, SubjectType, SubjectShortName, SubjectCredit
COEP,1,ERP-09001,Introduction to ERP (Navigation / Basis / Architecture / ABAP),Theory,Introduction to ERP,4
COEP,1,ERP-09001,Introduction to ERP (Navigation / Basis / Architecture / ABAP),Theory,Introduction to ERP,3
COEP,2,ERP-09002,Financial Accounting and Management Accounting,Theory,FAMA,4
COEP,3,ERP-09003,Supply Chain Management I (Procurement / Warehousing / Sales),Theory,SCM,4
COEP,4,ERP-09004,Production and Operation Management,Theory,POC,4
COEP,5,DE-09001,Human Resource Management,Theory,HRM,3
COEP,6,DE-09002,Project Systems,Theory,PS,3
COEP,7,DE-09003,BASIS,Theory,BASIS,3
COEP,8,ERP-09005,ERP Implementation Methodology,Theory,ERP Implementation,4
COEP,9,DE-09004,SAP-Materials Management (Procurement),Theory,SAP-MM,3
COEP,10,DE-09005,SAP - Sales and Distribution (Order Fulfillment),Theory,SAP-SD,3
COEP,11,DE-09006,SAP - SCM Planning and Manufacturing,Theory,SAP-SCM,3
COEP,12,DE-09007,ABAP,Theory,ABAP,3
COEP,12,DE-09007,ABAP,Theory,ABAP,3
COEP,13,DE-09008,BASIS,Theory,BASIS,3
COEP,14,DE-09009,SAP - Financial Accounting (FI) and Management Accounting (CO),Theory,SAP-FICO,3
COEP,15,DE-09010,SAP-Human Capital Management,Theory,SAP-HCM,3
COEP,16,DE-09011,SAP eAcademy Financials-Financial Accounting,Mini Project,SAP-FI,9
COEP,17,DE-09012,SAP eAcademy Financials-Management Accounting,Mini Project,SAP-CO,9
COEP,18,DE-09013,SAP eAcademy Human Resources (HCM)-Management & Administration,Mini Project,SAP-HCM,9
COEP,19,DE-09014,SAP eAcademy NetWeaver-ABAP Basics (SAP NetWeaver),Mini Project,SAP-ABAP,9
COEP,20,DE-09015,SAP- eAcademy SCM – Order Fulfillment,Mini Project,SAP-SD,9
COEP,21,DE-09016,SAP- eAcademy SCM – Procurement,Mini Project,SAP-MM,9
COEP,22,ERP-09017,Industry Project,Mini Project,IP,6
COEP,23,DE-09017,SAP- eAcademy SCM – Planning and Manufacturing ,Mini Project,SAP-PP,9
COEP,34,CE-14006,Design of RCC Structures Laboratory,Laboratory,DRCC LAB,3
COEP,280,MA-11001,Engineering Mathematics-I,Theory,Maths-I,4
COEP,281,PH-11001,Engineering Physics-I,Theory,Physics-1,3
COEP,282,CE-11001,Engineering Mechanics,Theory,EM,3
COEP,283,ME-11001,Basic Mechanical Engineering,Theory,EM,3
COEP,284,CT-11001,Fundamentals of Computer Programminng,Theory,FCP,3
COEP,285,CT-11002,Computer Programming Laboratory,Laboratory,CP-LAB,2
COEP,285,CT-11002,Computer Programming Laboratory,Laboratory,CP-LAB,2
COEP,286,ML-11001,Professional Ethics,Theory,PE,1
COEP,287,PH-11002,Engineering Physics-I LAB,Laboratory,EP-LAB,1
COEP,288,MA-11002,Engineering Mathematics-II,Theory,MA-102,4
COEP,289,PH-11003,Engineering Physics-II LAB,Laboratory,EP-II LAB,1
COEP,290,ET-11001,Basic Electronics,Theory,BE,3
COEP,291,EE-11001,Basic Electrical Engineering ,Theory,BE,3
COEP,292,ME-11002,Engineering Graphics,Theory,EG,2
COEP,293,CH-11001,Engineering Chemistry,Theory,EC,3
COEP,294,CH-11002,Engineering Chemistry LAB,Laboratory,EC-LAB,1
COEP,295,EE-11002,Basic Electrical Engineering Laboratory,Laboratory,EE-103,1
COEP,295,EE-11002,Basic Electrical Engineering Laboratory,Laboratory,EE-103,1
COEP,296,ME-11003,Engineering Graphics-LAB,Laboratory,EG,1
COEP,297,GY-11001,Physical Education,Training,PE,0
COEP,299,PE-11001,Techshop,Laboratory,Techshop,2
COEP,300,CE-12001,Fundamentals of Building Structures,Theory,FBS,3
COEP,301,CE-12002,Materials and Principles of Construction,Theory,MPC,3
COEP,302,CE-12003, Mathematics and Statistics in Planning-I,Theory,MS-1,3
COEP,303,BP-12001,Basic Architectural Design,Laboratory,BAD,2
COEP,303,BP-12001,Basic Architectural Design,Laboratory,BAD,2
COEP,304,BP-12002,Planning and Design Lab I,Laboratory,PDL-1,5
COEP,305,PH-13001,Basic Physics,Theory,BP,3
COEP,306,CH-13001,Basic Chemistry,Theory,BC,3
COEP,307,CGE-13001,Soil Engineering - I,Theory,SE-I,3
COEP,308,CGE-13002,Earthen Dam & Retaining Structures,Theory,EDRS,3
COEP,309,CGE-13003,Geotechnical Aspects in Earthquake Engineering,Theory,GAEE,3
COEP,310,CGE-13004,FEM in Geomechanics,Theory,FEM in Geomechanics,3
COEP,311,CGE(DE)-13001,Reinforced Earth and Geotextiles,Theory,REG,3
COEP,312,CGE(ILE)-13001,Advanced Mathematical Methods,Theory,AMM,3
COEP,313,CGE-13005,Laboratory Practice - I,Laboratory,Lab - I,4
