SchoolID, StudentID, SubjectCode, SemesterID, BranchID, SubjectID, YearID, DivisionID, SubjectName, Division, Semester, Branch, Department, CourseLevel, AcademicYear, TeacherID
SESH,801,3MCA 1,1013,101,3MCA 1,2016,101,Operating Systems,Div 1,Sem II,MCA,MCA,PG,2016,1013
SESH,801,3MCA2,1013,101,3MCA2,2016,101,File Structure & Data Processing,Div 1,Sem II,MCA,MCA,PG,2016,0
SESH,801,3MCA 3,1013,101,3MCA 3,2016,101,Java Programming,Div 1,Sem II,MCA,MCA,PG,2016,0
SESH,801,3MCA 4,1013,101,3MCA 4,2016,101,Computer Networks,Div 1,Sem II,MCA,MCA,PG,2016,0
SESH,801,3MCA 5,1013,101,3MCA 5,2016,101,Computer Oriented Optimization Techniques,Div 1,Sem II,MCA,MCA,PG,2016,0
SESH,804,3MCA 1,1013,101,3MCA 1,2016,101,Operating Systems,Div 1,Sem II,MCA,MCA,PG,2016,1013
SESH,804,3MCA2,1013,101,3MCA2,2016,101,File Structure & Data Processing,Div 1,Sem II,MCA,MCA,PG,2016,0
SESH,804,3MCA 3,1013,101,3MCA 3,2016,101,Java Programming,Div 1,Sem II,MCA,MCA,PG,2016,0
SESH,804,3MCA 4,1013,101,3MCA 4,2016,101,Computer Networks,Div 1,Sem II,MCA,MCA,PG,2016,0
SESH,804,3MCA 5,1013,101,3MCA 5,2016,101,Computer Oriented Optimization Techniques,Div 1,Sem II,MCA,MCA,PG,2016,0
SESH,824,3MCA 1,1013,101,3MCA 1,2016,101,Operating Systems,Div 1,Sem II,MCA,MCA,PG,2016,1013
SESH,824,3MCA2,1013,101,3MCA2,2016,101,File Structure & Data Processing,Div 1,Sem II,MCA,MCA,PG,2016,0
SESH,824,3MCA 3,1013,101,3MCA 3,2016,101,Java Programming,Div 1,Sem II,MCA,MCA,PG,2016,0
SESH,824,3MCA 4,1013,101,3MCA 4,2016,101,Computer Networks,Div 1,Sem II,MCA,MCA,PG,2016,0
SESH,824,3MCA 5,1013,101,3MCA 5,2016,101,Computer Oriented Optimization Techniques,Div 1,Sem II,MCA,MCA,PG,2016,0
SESH,820,3MCA 1,1013,101,3MCA 1,2016,101,Operating Systems,Div 1,Sem II,MCA,MCA,PG,2016,1013
SESH,820,3MCA2,1013,101,3MCA2,2016,101,File Structure & Data Processing,Div 1,Sem II,MCA,MCA,PG,2016,0
SESH,820,3MCA 3,1013,101,3MCA 3,2016,101,Java Programming,Div 1,Sem II,MCA,MCA,PG,2016,0
SESH,820,3MCA 4,1013,101,3MCA 4,2016,101,Computer Networks,Div 1,Sem II,MCA,MCA,PG,2016,0
SESH,820,3MCA 5,1013,101,3MCA 5,2016,101,Computer Oriented Optimization Techniques,Div 1,Sem II,MCA,MCA,PG,2016,0
SESH,822,3MCA 1,1013,101,3MCA 1,2016,101,Operating Systems,Div 1,Sem II,MCA,MCA,PG,2016,1013
SESH,822,3MCA2,1013,101,3MCA2,2016,101,File Structure & Data Processing,Div 1,Sem II,MCA,MCA,PG,2016,0
SESH,822,3MCA 3,1013,101,3MCA 3,2016,101,Java Programming,Div 1,Sem II,MCA,MCA,PG,2016,0
SESH,822,3MCA 4,1013,101,3MCA 4,2016,101,Computer Networks,Div 1,Sem II,MCA,MCA,PG,2016,0
SESH,822,3MCA 5,1013,101,3MCA 5,2016,101,Computer Oriented Optimization Techniques,Div 1,Sem II,MCA,MCA,PG,2016,0
SESH,802,3MCA 1,1013,101,3MCA 1,2016,101,Operating Systems,Div 1,Sem II,MCA,MCA,PG,2016,1013
SESH,802,3MCA2,1013,101,3MCA2,2016,101,File Structure & Data Processing,Div 1,Sem II,MCA,MCA,PG,2016,0
SESH,802,3MCA 3,1013,101,3MCA 3,2016,101,Java Programming,Div 1,Sem II,MCA,MCA,PG,2016,0
SESH,802,3MCA 4,1013,101,3MCA 4,2016,101,Computer Networks,Div 1,Sem II,MCA,MCA,PG,2016,0
SESH,802,3MCA 5,1013,101,3MCA 5,2016,101,Computer Oriented Optimization Techniques,Div 1,Sem II,MCA,MCA,PG,2016,0
SESH,809,3MCA 1,1013,101,3MCA 1,2016,101,Operating Systems,Div 1,Sem II,MCA,MCA,PG,2016,1013
SESH,809,3MCA2,1013,101,3MCA2,2016,101,File Structure & Data Processing,Div 1,Sem II,MCA,MCA,PG,2016,0
