SchoolID, SubjectID, SubjectCode, Subject, SubjectType, SubjectShortName, SubjectCredit
SESH,1ST1,1ST1,COMPUTER FUNDAMENTALS,Theory+ Lab,CF,
SESH,1ST2,1ST2,C PROGRMMING,Theory+ Lab,CP,
SESH,1ST3,1ST3,DIGITAL TECNIQUES,Theory+ Lab,DT,
SESH,1ST4,1ST4,NUMERICAL METHODS,Theory+ Lab,NM,
SESH,1ST5,1ST5,DISCREATE MATHEMATICS,,DM,
SESH,1ST6,1ST6,COMMUNICATION SKILLS,,CS,
SESH,3ST1,3ST1,DATA STRUCTURE,Theory+ Lab,DS,
SESH,3ST2,3ST2,OBJECT ORIENTED PROGRAMMING WITH C++,Theory+ Lab,C++,
SESH,3ST3,3ST3,DATA BASE MANAGEMENT SYSTEM,Theory+ Lab,DBMS,
SESH,3ST4,3ST4,ADVANCE OPERATING SYSTEM,Theory+ Lab,AOS,
SESH,3ST5,3ST5,ELECTRONICS,Theory+ Lab,EL,
SESH,5ST1,5ST1,CORE JAVA,Theory+ Lab,JAVA,
SESH,5ST2,5ST2,NETWORK SECURITY,Theory+ Lab,NS,
SESH,5ST3,5ST3,SOFTWARE ENGINEERING,Theory+ Lab,SE,
SESH,5ST4,5ST4,COMPUTER GRAPHICS,Theory+ Lab,CG,
SESH,5ST5,5ST5,E-COMMERECE,Theory+ Lab,EC,
SESH,101,101,Principles of Economics,Theory,PE,
SESH,102,102,Commercial Law,Theory,CL,
SESH,103,103,Business Communication,Theory,BC,
SESH,104,104,Fundamentals of Accounting,Theory,FA,
SESH,105,105,Business Statistics,Theory,BS,
SESH,106,106,Principles of Business Management,Theory,PBM,
SESH,107,107,Computer Fundamentals & Problems Solving.,Theory,CF,
SESH,108,108,Business Mathematics,Theory,BM,
SESH,301,301,Management Accounting,Theory,MA,
SESH,302,302,Marketing Management,Theory,MM,
SESH,303,303,Personnel Management,Theory,PM,
SESH,304,304,Cost Accounting,Theory,CAc,
SESH,305,305,Direct Tax Law,Theory,DTL,
SESH,306,306,Auditing,Theory,Adt,
SESH,307,307,Enterpreneurship,Theory,Ent,
SESH,308,308,Computer Applications,Theory,CAp,
SESH,501,501,Indian Economics,Theory,IE,
SESH,502,502,Company Accounts,Theory,CA,
SESH,503,503,Industrial Laws,Theory,IL,
SESH,504,504,Company Management & Secretarial Practice,Theory,CMSP,
SESH,505,505,Investment Management,Theory,IM,
SESH,506,506,Sales & Advertising Management,Theory,SAM,
SESH,507,507,Economics and other Legislations,Theory,EOL,
SESH,508,508,Business Data Processing,Theory,BDP,
SESH,3MCA 1,3MCA 1,Operating Systems,Theory+ Lab,OS,
SESH,3MCA2,3MCA2,File Structure & Data Processing,Theory+ Lab,FSDP,
SESH,3MCA 3,3MCA 3,Java Programming,Theory+ Lab,JAVA,
SESH,3MCA 4,3MCA 4,Computer Networks,Theory ,CN,
SESH,3MCA 5,3MCA 5,Computer Oriented Optimization Techniques,Theory+ Lab,COOT,
