SchoolID, StudentID, SubjectCode, SemesterID, BranchID, SubjectID, YearID, DivisionID, SubjectName, Division, Semester, Branch, Department, CourseLevel, AcademicYear, TeacherID
        SDPS,11401,51031,,,,,,Classical Archaeology and Ancient ,1,Sem I,Science,Science,UG,2015-2016,1101
        SDPS,11402,51031,,,,,,Classical Archaeology and Ancient ,1,Sem I,Science,Science,UG,2015-2016,1101
        SDPS,11403,51031,,,,,,Classical Archaeology and Ancient ,1,Sem I,Science,Science,UG,2015-2016,1101
        SDPS,11404,51032,,,,,,Earth Sciences (Geology),1,Sem I,Science,Science,UG,2015-2016,1102
        SDPS,11405,51032,,,,,,Earth Sciences (Geology),1,Sem I,Science,Science,UG,2015-2016,1102
        SDPS,11406,51032,,,,,,Earth Sciences (Geology),1,Sem I,Science,Science,UG,2015-2016,1102
        SDPS,11407,51033,,,,,,Biochemistry (Molecular and Cellular),1,Sem I,Science,Science,UG,2015-2016,1103
        SDPS,11408,51033,,,,,,Biochemistry (Molecular and Cellular),1,Sem I,Science,Science,UG,2015-2016,1103
        SDPS,11409,51033,,,,,,Biochemistry (Molecular and Cellular),1,Sem I,Science,Science,UG,2015-2016,1103
        SDPS,11410,51034,,,,,,Biomedical Sciences,1,Sem I,Science,Science,UG,2015-2016,1104
        SDPS,11411,51034,,,,,,Biomedical Sciences,1,Sem I,Science,Science,UG,2015-2016,1104
        SDPS,11412,51034,,,,,,Biomedical Sciences,1,Sem I,Science,Science,UG,2015-2016,1104
        SDPS,11413,51035,,,,,,Mathematics and Statistics,1,Sem I,Science,Science,UG,2015-2016,1105
        SDPS,11414,51035,,,,,,Mathematics and Statistics,1,Sem I,Science,Science,UG,2015-2016,1105
        SDPS,11415,51035,,,,,,Mathematics and Statistics,1,Sem I,Science,Science,UG,2015-2016,1105
,,,,,,,,,,,,,,,
