SchoolID, TeacherID, SubjectID, SubjectCode, SubjectName, YearID, DivisionID,Division, SemesterID, Semester, BranchID, Branch, DepartmentID, Department, CourseLevel, AcademicYear
SESH,2013, , 1ST1,COMPUTER FUNDAMENTALS, , , , I, BCA I Yr I Sem,BCA,BCA,BCA, ,UG,2016-17
SESH,2012, , 1ST2,C PROGRMMING, , , , I, BCA I Yr I Sem,BCA,BCA,BCA, ,UG,2016-17
SESH, , , 1ST3,DIGITAL TECNIQUES, , , , I, BCA I Yr I Sem,BCA,BCA,BCA, ,UG,2016-17
SESH,2014, , 1ST4,NUMERICAL METHODS, , , , I, BCA I Yr I Sem,BCA,BCA,BCA, ,UG,2016-17
SESH,2015, , 1ST5,DISCREATE MATHEMATICS, , , , I, BCA I Yr I Sem,BCA,BCA,BCA, ,UG,2016-17
SESH, , , 1ST6,COMMUNICATION SKILLS, , , , I, BCA I Yr I Sem,BCA,BCA,BCA, ,UG,2016-17
SESH,2011, , 3ST1,DATA STRUCTURE, , , , III, BCA II Yr III Sem,BCA,BCA,BCA, ,UG,2016-17
SESH,2014, , 3ST2,OBJECT ORIENTED PROGRAMMING WITH C++, , , , III, BCA II Yr III Sem,BCA,BCA,BCA, ,UG,2016-17
SESH,2015, , 3ST3,DATA BASE MANAGEMENT SYSTEM, , , , III, BCA II Yr III Sem,BCA,BCA,BCA, ,UG,2016-17
SESH,2012, , 3ST4,ADVANCE OPERATING SYSTEM, , , , III, BCA II Yr III Sem,BCA,BCA,BCA, ,UG,2016-17
SESH, , , 3ST5,ELECTRONICS, , , , III, BCA II Yr III Sem,BCA,BCA,BCA, ,UG,2016-17
SESH,2011, , 5ST1,CORE JAVA, , , , V, BCA III Yr V Sem,BCA,BCA,BCA, ,UG,2016-17
SESH,2012, , 5ST2,NETWORK SECURITY, , , , V, BCA III Yr V Sem,BCA,BCA,BCA, ,UG,2016-17
SESH,2013, , 5ST3,SOFTWARE ENGINEERING, , , , V, BCA III Yr V Sem,BCA,BCA,BCA, ,UG,2016-17
SESH,2015, , 5ST4,COMPUTER GRAPHICS, , , , V, BCA III Yr V Sem,BCA,BCA,BCA, ,UG,2016-17
SESH,2014, , 5ST5,E-COMMERECE, , , , V, BCA III Yr V Sem,BCA,BCA,BCA, ,UG,2016-17
SESH, , ,101,Principles of Economics, , , , I, BBA I Yr I Sem, BBA, BBA, BBA, ,UG,2016-17
SESH, , ,102,Commercial Law, , , , I, BBA I Yr I Sem, BBA, BBA, BBA, ,UG,2016-17
SESH, , ,103,Business Communication, , , , I, BBA I Yr I Sem, BBA, BBA, BBA, ,UG,2016-17
SESH, , ,104,Fundamentals of Accounting, , , , I, BBA I Yr I Sem, BBA, BBA, BBA, ,UG,2016-17
